<X> <Y> <dY>
8.813602216919226e-04 1.197257530880559e+01 2.694060309745215e+00
1.028253589049351e-03 -5.973806399612543e+00 1.467238727629604e+00
1.175146955056984e-03 9.130306898610915e+00 1.115940384560625e+00
1.322040319521992e-03 1.595566175339867e+00 6.840028158151259e-01
1.468933682251548e-03 1.145611939290800e+00 4.961168203755741e-01
1.615827043052824e-03 1.309601728846479e+00 3.496313010424900e-01
1.762720401732992e-03 9.890673688119314e-01 3.028128946228017e-01
1.909613758099223e-03 1.234923162347041e-01 2.595467788866866e-01
2.056507111958691e-03 1.756477074458199e-01 2.186980927849000e-01
2.203400463118568e-03 1.214912914041172e+00 1.922871611722145e-01
2.350293811386024e-03 -7.621701378784747e-02 1.611510685556020e-01
2.497187156568232e-03 3.649137798704487e-01 1.449618916651690e-01
2.644080498472365e-03 1.378030783374161e-01 1.266053680835245e-01
2.790973836905595e-03 -5.860868782023954e-02 1.114273902965963e-01
2.937867171675094e-03 1.348124227541139e-01 1.030087011777499e-01
3.084760502588034e-03 1.258483717297113e-01 9.127600678951847e-02
3.231653829451588e-03 8.240504576209788e-02 8.348117977071834e-02
3.378547152072927e-03 3.201510838894410e-02 7.650328425768821e-02
3.525440470259224e-03 1.219147493811625e-02 6.900218305963784e-02
3.672333783817651e-03 -6.428076047277499e-03 6.434657088037245e-02
3.819227092555382e-03 -1.728774162464743e-02 5.795968415196406e-02
3.966120396279587e-03 -3.831302767721900e-02 5.530516604992713e-02
4.113013694797441e-03 -6.473754273382384e-02 4.998989398650603e-02
4.259906987916115e-03 3.561620283239950e-02 4.629561136792912e-02
4.406800275442781e-03 4.887849970117715e-03 4.376313297231306e-02
4.553693557184614e-03 -1.591587500895889e-02 4.041817482190996e-02
4.700586832948783e-03 -2.786067903474805e-02 3.782916216217315e-02
4.847480102542463e-03 3.781335817375475e-02 3.521596349677452e-02
4.994373365772829e-03 -1.933555618131276e-02 3.329740003345656e-02
5.141266622447048e-03 1.164389631585095e-02 3.131206954292688e-02
5.288159872372297e-03 -2.458169795994855e-02 2.897713552438990e-02
5.435053115355749e-03 2.967399160290371e-02 2.766702250841748e-02
5.581946351204576e-03 2.167844890902074e-03 2.606345277099691e-02
5.728839579725948e-03 -8.824684493469476e-03 2.432152327538653e-02
5.875732800727044e-03 5.311440716576043e-03 2.322533387171270e-02
6.022626014015034e-03 -3.255588886534146e-02 2.199952760794367e-02
6.169519219397089e-03 -1.406879829416062e-02 2.085935093764801e-02
6.316412416680385e-03 -3.489403069141702e-02 1.994310859614853e-02
6.463305605672094e-03 -1.740846591140950e-02 1.869905933871732e-02
6.610198786179393e-03 -5.010616561670305e-03 1.776735926084519e-02
6.757091958009447e-03 -3.508173144829477e-02 1.685200646914362e-02
6.903985120969439e-03 5.117631753706235e-03 1.611663618071084e-02
7.050878274866538e-03 -2.820768872595909e-02 1.547930958722012e-02
7.197771419507919e-03 2.286878494735334e-02 1.452977979354328e-02
7.344664554700750e-03 5.492643341552366e-03 1.397647401187350e-02
7.491557680252214e-03 1.224557075611585e-03 1.348374091979260e-02
7.638450795969478e-03 9.010333022687634e-03 1.277183083938416e-02
7.785343901659718e-03 -3.457576220646673e-04 1.229976775649992e-02
7.932236997130110e-03 -2.993270950082206e-03 1.165780906807596e-02
8.079130082187821e-03 7.836647233084391e-03 1.130473689392981e-02
8.226023156640037e-03 -3.037532303816222e-03 1.085038689651519e-02
8.372916220293923e-03 1.410392556446604e-02 1.028045726827404e-02
8.519809272956652e-03 1.085654293870047e-02 9.956370597137896e-03
8.666702314435403e-03 -2.063129159744306e-03 9.570706769503327e-03
8.813595344537354e-03 5.740210896535870e-03 9.243622810891514e-03
8.960488363069672e-03 2.979760018685368e-03 8.898766480637213e-03
9.107381369839535e-03 6.777347534464725e-03 8.448157065478291e-03
