<X> <Y> <dY>
8.813602216919226e-04 -4.095395559489165e+01 2.719350059498419e+00
1.028253589049351e-03 -5.066002697506293e+01 1.480064828476616e+00
1.175146955056984e-03 -2.479391927223312e+01 1.125033906383860e+00
1.322040319521992e-03 -1.989566823509756e+01 6.902660778357889e-01
1.468933682251548e-03 -1.486714468414629e+01 5.008051038901029e-01
1.615827043052824e-03 -1.069549793685569e+01 3.529850302169935e-01
1.762720401732992e-03 -7.372420678745350e+00 3.058680632317032e-01
1.909613758099223e-03 -5.636309176534087e+00 2.623208916176116e-01
2.056507111958691e-03 -4.463488018621668e+00 2.210412778489986e-01
2.203400463118568e-03 -2.115331440063970e+00 1.944357551068225e-01
2.350293811386024e-03 -2.666813889632557e+00 1.629783171655910e-01
2.497187156568232e-03 -1.908637137868798e+00 1.465763931588932e-01
2.644080498472365e-03 -1.535954690954873e+00 1.280664616517338e-01
2.790973836905595e-03 -1.307643379872814e+00 1.127511456320068e-01
2.937867171675094e-03 -1.098534822268513e+00 1.041909768963276e-01
3.084760502588034e-03 -7.313519505270927e-01 9.237384737903183e-02
3.231653829451588e-03 -7.116197561169229e-01 8.447310519482874e-02
3.378547152072927e-03 -4.981524504562899e-01 7.745783124421758e-02
3.525440470259224e-03 -5.201344673981109e-01 6.984401758867238e-02
3.672333783817651e-03 -4.179134857997023e-01 6.514918533187605e-02
3.819227092555382e-03 -3.652781081504018e-01 5.868713526873204e-02
3.966120396279587e-03 -2.872676197247111e-01 5.601975897929867e-02
4.113013694797441e-03 -3.216057058337470e-01 5.062508865658148e-02
4.259906987916115e-03 -1.861449708968261e-01 4.688538183456877e-02
4.406800275442781e-03 -2.737355589590212e-01 4.429151566489413e-02
4.553693557184614e-03 -2.182935323194852e-01 4.092468954513428e-02
4.700586832948783e-03 -1.685451356091383e-01 3.831973377679099e-02
4.847480102542463e-03 -1.074154243443897e-01 3.566485170872295e-02
4.994373365772829e-03 -1.402397120940946e-01 3.372688890776376e-02
5.141266622447048e-03 -1.053863650777828e-01 3.171221823115775e-02
5.288159872372297e-03 -9.486923297763028e-02 2.936378681095514e-02
5.435053115355749e-03 -5.664957555589619e-02 2.802558010646734e-02
5.581946351204576e-03 -8.411509373988792e-02 2.639831941061035e-02
5.728839579725948e-03 -2.412965519393530e-02 2.466444926597915e-02
5.875732800727044e-03 -5.687143295048932e-02 2.352867164209270e-02
6.022626014015034e-03 -5.400140995298160e-02 2.230563812215008e-02
6.169519219397089e-03 -5.418421057131228e-02 2.113867055564369e-02
6.316412416680385e-03 -5.877021627553523e-02 2.021765558585626e-02
6.463305605672094e-03 -2.810945489650760e-02 1.896252351774162e-02
6.610198786179393e-03 -3.564008554081635e-02 1.800572774612688e-02
6.757091958009447e-03 -3.193288661785748e-02 1.709695251369449e-02
6.903985120969439e-03 -8.546317290791309e-03 1.634031587848959e-02
7.050878274866538e-03 -4.008094878415419e-02 1.569516838421452e-02
7.197771419507919e-03 -3.203707355498102e-02 1.470398480406653e-02
7.344664554700750e-03 -3.597399006900129e-02 1.415060759314880e-02
7.491557680252214e-03 -2.591333945359572e-02 1.365959962157581e-02
7.638450795969478e-03 9.768184470262781e-04 1.295003298565498e-02
7.785343901659718e-03 -1.327112779935644e-02 1.246773925595186e-02
7.932236997130110e-03 -3.189597364266804e-02 1.180505455369046e-02
8.079130082187821e-03 -1.273205402924301e-02 1.145215194761747e-02
8.226023156640037e-03 -8.193828120807257e-03 1.100275351474849e-02
8.372916220293923e-03 -2.236134155046128e-03 1.041576642605849e-02
8.519809272956652e-03 -5.866208748859189e-03 1.008632432708101e-02
8.666702314435403e-03 -9.413354875952478e-03 9.702624223425526e-03
8.813595344537354e-03 -2.135450400888768e-03 9.370072348440839e-03
8.960488363069672e-03 -1.185588797624235e-02 9.014349725705978e-03
9.107381369839535e-03 -2.380341630032386e-02 8.543695258002831e-03
9.254274364654119e-03 -4.971268898993197e-03 8.365630017161466e-03
9.401167347320593e-03 -5.553462874622237e-03 8.006897954474186e-03
9.548060317646137e-03 -5.115949496324755e-03 7.812162127802933e-03
9.694953275437929e-03 -8.371706705988352e-03 7.525400124106729e-03
9.841846220503138e-03 -1.670744713211616e-02 7.184444475193818e-03
9.988739152648940e-03 -1.813011723844636e-02 7.036040485012472e-03
1.013563207168251e-02 -1.860517370039172e-02 6.725438891474735e-03
1.028252497741103e-02 1.573931370751460e-03 6.492289143006115e-03
1.042941786964167e-02 -4.564720078827566e-03 6.315161157033613e-03
1.057631074818160e-02 -8.438889332342523e-03 6.124545926583991e-03
1.072320361283801e-02 -9.686319717507023e-03 5.992682202166021e-03
1.087009646341806e-02 -3.419631586229005e-03 5.673239319679980e-03
1.101698929972894e-02 -7.077085818212102e-03 5.538195945223839e-03
1.116388212157781e-02 -1.086773448314039e-02 5.402895634735805e-03
1.131077492877186e-02 -1.902714827224820e-03 5.246685009328907e-03
1.145766772111827e-02 -6.677662488929570e-03 5.115388308424505e-03
1.160456049842420e-02 4.512424370957156e-04 4.925533858249632e-03
1.175145326049683e-02 -8.361755007478563e-03 4.788503854299185e-03
1.189834600714335e-02 3.308979742464119e-03 4.658912650254845e-03
1.204523873817092e-02 -1.003906499628424e-02 4.530924647463187e-03
1.219213145338673e-02 -6.883013478848738e-03 4.384871565156124e-03
1.233902415259795e-02 -1.792618377124651e-03 4.295012024610445e-03
1.248591683561175e-02 -5.422654344247427e-03 4.189991843662606e-03
1.263280950223533e-02 -1.136782373419080e-02 4.078868524657270e-03
1.277970215227585e-02 -2.107034247228595e-03 3.903186241237544e-03
1.292659478554047e-02 -8.202322338999628e-03 3.836497894276896e-03
1.307348740183641e-02 -2.202387878577528e-03 3.767052276038416e-03
1.322038000097082e-02 5.635550077610564e-03 3.659223698889512e-03
1.336727258275089e-02 2.877111485519133e-03 3.564624992738669e-03
1.351416514698378e-02 -3.217307376720476e-03 3.482519028234381e-03
1.366105769347668e-02 -5.126580586813140e-03 3.389210045213425e-03
1.380795022203677e-02 -4.142982213112366e-03 3.326574786524550e-03
1.395484273247122e-02 1.418449534933144e-03 3.213406906271902e-03
1.410173522458722e-02 -4.016173078416427e-03 3.149245406823146e-03
1.424862769819194e-02 8.080291601277384e-04 3.091933741979829e-03
1.439552015309257e-02 -6.587278401031078e-03 3.014293380000013e-03
1.454241258909627e-02 -3.478652175415534e-03 2.953050131556194e-03
1.468930500601023e-02 2.508464234839345e-04 2.857717619695169e-03
1.483619740364163e-02 6.814534949713751e-05 2.796820685679832e-03
1.498308978179765e-02 3.426744897455174e-03 2.769577711624190e-03
1.512998214028546e-02 3.765836000737586e-03 2.689243562820103e-03
