<X> <Y> <dY> <dX>
4.174482400000000e-02 4.316844119999999e-02 6.974652250664783e-02 1.343983300000000e-03
4.290804300000000e-02 3.797470079999992e-02 6.364760635135541e-02 1.343981900000000e-03
4.407125700000000e-02 3.097413480000000e-02 5.610507751360234e-02 1.343983300000000e-03
4.523447500000000e-02 4.250821799999999e-02 5.732528080598025e-02 1.343978900000000e-03
4.639769000000000e-02 3.709008480000001e-02 4.818260775784064e-02 1.343980300000000e-03
4.756090800000000e-02 2.249589119999999e-02 3.803290071448744e-02 1.343981900000000e-03
4.872412200000000e-02 1.380833399999992e-02 3.415934667351575e-02 1.343980300000000e-03
4.988734100000000e-02 4.520007600000014e-03 2.910888937333742e-02 1.343978900000000e-03
5.105055500000000e-02 5.215388400000023e-03 2.840708182463498e-02 1.343980300000000e-03
5.221377300000000e-02 5.701465200000001e-03 2.538886421276414e-02 1.343975900000000e-03
5.337698800000000e-02 1.168800720000000e-02 2.514932103542912e-02 1.343974300000000e-03
5.454020600000000e-02 1.977930240000001e-02 2.498752398900273e-02 1.343972900000000e-03
5.570342000000000e-02 2.341463999999999e-02 2.205452131438442e-02 1.343971200000000e-03
5.686663800000000e-02 2.593000080000002e-02 2.336688035165384e-02 1.343969800000000e-03
5.802985300000000e-02 2.613246000000000e-02 2.187096917868844e-02 1.343968200000000e-03
5.919307100000000e-02 2.222449560000000e-02 2.137623047769613e-02 1.343966700000000e-03
6.035628500000000e-02 2.278012439999998e-02 1.890681872658079e-02 1.343965200000000e-03
6.151950400000000e-02 2.278580759999993e-02 1.643377581383399e-02 1.343960600000000e-03
6.268271800000000e-02 2.261071559999998e-02 1.600139636640066e-02 1.343957600000000e-03
6.384593199999999e-02 1.435886520000001e-02 1.421522315494848e-02 1.343957500000000e-03
6.500915400000000e-02 1.524851760000001e-02 1.371682361470159e-02 1.343954600000000e-03
6.617236899999999e-02 1.852289640000001e-02 1.249806719679684e-02 1.343954600000000e-03
6.733558300000000e-02 2.063463480000000e-02 1.224063537986807e-02 1.343948500000000e-03
6.849879800000000e-02 2.015272560000002e-02 1.262633318128936e-02 1.343957500000000e-03
6.966202000000001e-02 2.291230079999998e-02 1.153851816182112e-02 1.343948500000000e-03
7.082523400000000e-02 2.265561600000001e-02 1.135454510531074e-02 1.343948500000000e-03
7.198844900000000e-02 2.365446000000000e-02 1.109634735550425e-02 1.343945300000000e-03
7.315167000000000e-02 1.912994519999998e-02 1.072153704962752e-02 1.343942400000000e-03
7.431488500000000e-02 2.100655319999999e-02 1.115577302616780e-02 1.343936300000000e-03
7.547809900000001e-02 2.012066280000000e-02 1.017013723935362e-02 1.343936300000000e-03
7.664131400000000e-02 1.906869480000000e-02 1.028634426134454e-02 1.343933200000000e-03
7.780453599999999e-02 1.837036320000000e-02 1.008501116613291e-02 1.343930300000000e-03
7.896775000000000e-02 1.899420359999998e-02 9.845917696345760e-03 1.343930300000000e-03
8.013096500000000e-02 2.030434559999999e-02 9.601955065370753e-03 1.343924100000000e-03
8.129417899999999e-02 1.893665400000000e-02 9.181717232506015e-03 1.343927000000000e-03
8.245740100000000e-02 1.775163120000001e-02 9.248903699889049e-03 1.343924100000000e-03
8.362061500000000e-02 2.359085399999999e-02 9.224102443336242e-03 1.343918000000000e-03
8.478383000000000e-02 2.367020520000001e-02 9.287182407482299e-03 1.343918000000000e-03
8.594704400000000e-02 2.024634840000000e-02 9.118170210347040e-03 1.343914900000000e-03
8.711026600000001e-02 2.514888120000000e-02 8.756320243773302e-03 1.343912000000000e-03
8.827348100000000e-02 2.179676280000001e-02 9.349256902916939e-03 1.343905900000000e-03
8.943669500000000e-02 2.039256120000001e-02 8.729789314774238e-03 1.343912000000000e-03
9.059990900000001e-02 1.561484640000001e-02 8.623737884859645e-03 1.343908700000000e-03
9.176313100000000e-02 1.927804320000000e-02 8.567702892551548e-03 1.343899800000000e-03
9.292634600000001e-02 1.805498880000000e-02 8.708703829426942e-03 1.343899800000000e-03
9.408956000000000e-02 1.811091960000000e-02 8.741721114973242e-03 1.343887600000000e-03
9.525277500000000e-02 1.908091440000001e-02 8.490009500378995e-03 1.343884400000000e-03
9.641599700000000e-02 1.989523800000000e-02 8.546557239501802e-03 1.343881600000000e-03
9.757921100000000e-02 2.542791120000000e-02 8.361032308628750e-03 1.343875400000000e-03
9.874242499999999e-02 1.909133640000002e-02 8.445212725901614e-03 1.343878300000000e-03
9.990564700000000e-02 1.881419640000000e-02 8.338901220256292e-03 1.343875400000000e-03
1.010688600000000e-01 2.476443000000000e-02 8.139936848339682e-03 1.343869400000000e-03
1.022320800000000e-01 2.820110159999999e-02 8.201877652118965e-03 1.343863300000000e-03
1.033952900000000e-01 2.407019879999999e-02 8.153555573245520e-03 1.343866200000000e-03
1.045585100000000e-01 2.721326039999999e-02 8.201567440924972e-03 1.343857300000000e-03
