2024:01:25 12:53:51
Generator power: 50 kV; 0.6 mA
Sample: 25janv24
Comments: Li34, 109F, E, G, H, I, J, K, N, L, M, C
Camera High Position:0
Camera Low Position:0
NumPos: 12
Current0 Relative Position:4
Current Integration Time:30
Date	Filename	Time	XPosition	ZPosition	Temperature1	Temperature2	AverageCurrent	Current	Current0	OffsetCurrent	Thickness	Transmission (%)
2024:01:25 13:05:56	25janv24_001.tif	300	6.700	6.000	---	---	6.693	6.501	14.961	0.162	1.4	42.836
2024:01:25 14:07:41	25janv24_002.tif	1800	16.467	6.000	---	---	3.277	3.295	15.334	0.058	1.4	21.192
2024:01:25 15:09:26	25janv24_003.tif	1800	26.469	6.000	---	---	2.969	2.944	15.473	0.075	1.4	18.627
2024:01:25 16:11:11	25janv24_004.tif	1800	36.500	6.000	---	---	2.826	2.791	15.529	0.062	1.4	17.642
2024:01:25 17:12:56	25janv24_005.tif	1800	46.456	6.000	---	---	2.813	2.814	15.513	0.046	1.4	17.893
2024:01:25 18:14:41	25janv24_006.tif	1800	56.673	6.000	---	---	3.055	3.030	15.599	0.057	1.4	19.128
2024:01:25 19:16:26	25janv24_007.tif	1800	66.615	6.000	---	---	2.718	2.683	15.766	0.049	1.4	16.759
2024:01:25 20:18:11	25janv24_008.tif	1800	76.650	6.000	---	---	3.097	3.055	15.799	0.064	1.4	19.010
2024:01:25 21:19:56	25janv24_009.tif	1800	86.642	6.000	---	---	3.186	3.143	15.720	0.055	1.4	19.718
2024:01:25 22:21:41	25janv24_010.tif	1800	96.556	6.000	---	---	2.918	2.890	15.822	0.060	1.4	17.954
2024:01:25 23:23:26	25janv24_011.tif	1800	106.681	6.000	---	---	3.447	3.381	15.863	0.065	1.4	20.990
2024:01:26 00:25:11	25janv24_012.tif	1800	116.511	6.000	---	---	3.375	3.342	15.874	0.071	1.4	20.700
