<X> <Y> <dY>
1.039265947336785e-03 1.659568956146030e+04 1.958630155956826e+01
1.187732507260276e-03 1.617191643577329e+04 8.646702775880227e+00
1.336199065591062e-03 1.582766464391877e+04 5.305075092435308e+00
1.484665622130054e-03 1.548027919879247e+04 4.587961126424740e+00
1.633132176678164e-03 1.512722445479829e+04 3.632549057266534e+00
1.781598729036305e-03 1.480509764762944e+04 3.435274480823629e+00
1.930065279005388e-03 1.448178506031620e+04 3.209402430237650e+00
2.078531826386324e-03 1.418221527951112e+04 2.976637775184316e+00
2.226998370980027e-03 1.385348469217492e+04 2.941937704861807e+00
2.375464912587407e-03 1.356282657188251e+04 2.654299495813589e+00
2.523931451009377e-03 1.325200741177059e+04 2.669079068716440e+00
2.672397986046849e-03 1.294847410886477e+04 2.446691049459256e+00
2.820864517500735e-03 1.264880265409722e+04 2.348776103905172e+00
2.969331045171946e-03 1.235427832990546e+04 2.310397220678841e+00
3.117797568861397e-03 1.207512794917890e+04 2.175077453354820e+00
3.266264088369997e-03 1.177201486368466e+04 2.112104264713672e+00
3.414730603498659e-03 1.146174725948945e+04 2.026751183817361e+00
3.563197114048295e-03 1.119230399555550e+04 1.950563891569961e+00
3.711663619819818e-03 1.092628174971403e+04 1.892764302530131e+00
3.860130120614143e-03 1.064766566003744e+04 1.787873336768368e+00
4.008596616232176e-03 1.034386723491195e+04 1.779602104573173e+00
4.157063106474833e-03 1.008080603798778e+04 1.706701476393100e+00
4.305529591143026e-03 9.811260254386898e+03 1.643151828239011e+00
4.453996070037668e-03 9.536255087996220e+03 1.615159909141964e+00
4.602462542959671e-03 9.263385904584346e+03 1.525618433161849e+00
4.750929009709947e-03 8.995284681181136e+03 1.495274602584387e+00
4.899395470089409e-03 8.736655780162371e+03 1.442918271740822e+00
5.047861923898970e-03 8.475310728708104e+03 1.410310372680109e+00
5.196328370939542e-03 8.213286081347585e+03 1.371048450131249e+00
5.344794811012039e-03 7.960988979738725e+03 1.311434638153029e+00
5.493261243917372e-03 7.710596325095071e+03 1.284656881589274e+00
5.641727669456453e-03 7.467154227868271e+03 1.238672100949882e+00
5.790194087430198e-03 7.220282276863558e+03 1.212646531644736e+00
5.938660497639517e-03 6.982713989856588e+03 1.162206395544959e+00
6.087126899885325e-03 6.744099346998415e+03 1.144573275445889e+00
6.235593293968535e-03 6.512234493776419e+03 1.101816549191167e+00
6.384059679690060e-03 6.273003306297122e+03 1.060224993927033e+00
6.532526056850811e-03 6.038700366365586e+03 1.030300750113371e+00
6.680992425251704e-03 5.810966718996122e+03 1.006865416646059e+00
6.829458784693651e-03 5.585503717008449e+03 9.834351495991148e-01
6.977925134977566e-03 5.363026010081096e+03 9.343637572755304e-01
7.126391475904362e-03 5.145062095152813e+03 9.184192487999895e-01
7.274857807274953e-03 4.930226399702678e+03 8.775216012789034e-01
7.423324128890250e-03 4.725606456313330e+03 8.519532953087293e-01
7.571790440551172e-03 4.525285464132033e+03 8.350887668113327e-01
7.720256742058629e-03 4.328875209277761e+03 8.009041334497813e-01
7.868723033213537e-03 4.142736679374075e+03 7.834958257884136e-01
