<X> <Y> <dY>
1.039265947336785e-03 8.606448060451221e+03 1.488510376675463e+01
1.187732507260276e-03 8.182724011392972e+03 6.490883926822285e+00
1.336199065591062e-03 7.838420893651321e+03 3.939875609330538e+00
1.484665622130054e-03 7.529778071785447e+03 3.376809242245920e+00
1.633132176678164e-03 7.251587412254954e+03 2.654199180121156e+00
1.781598729036305e-03 7.013368645619968e+03 2.495193576222088e+00
1.930065279005388e-03 6.783647726290685e+03 2.318087775820718e+00
2.078531826386324e-03 6.584050294559534e+03 2.140354089627678e+00
2.226998370980027e-03 6.377965148235775e+03 2.106590558884694e+00
2.375464912587407e-03 6.194361920768739e+03 1.893033124657037e+00
2.523931451009377e-03 6.014680280557985e+03 1.897631944560979e+00
2.672397986046849e-03 5.839702453196940e+03 1.734004823996240e+00
2.820864517500735e-03 5.673053349865431e+03 1.660009028481826e+00
2.969331045171946e-03 5.511879714991926e+03 1.628594385754925e+00
3.117797568861397e-03 5.361233168333240e+03 1.529488826440001e+00
3.266264088369997e-03 5.210531801651755e+03 1.482914401308378e+00
3.414730603498659e-03 5.054151443566786e+03 1.420313620501035e+00
3.563197114048295e-03 4.920333913584550e+03 1.364843402565665e+00
3.711663619819818e-03 4.786103938755525e+03 1.322015377136399e+00
3.860130120614143e-03 4.652066202678229e+03 1.247146846261683e+00
4.008596616232176e-03 4.509829954360440e+03 1.240071224943159e+00
4.157063106474833e-03 4.383974952018772e+03 1.187761028853016e+00
4.305529591143026e-03 4.263305728056312e+03 1.143072140419613e+00
4.453996070037668e-03 4.139163514255535e+03 1.122969582373045e+00
4.602462542959671e-03 4.018604778782439e+03 1.060434386350195e+00
4.750929009709947e-03 3.899349020774528e+03 1.038950030625379e+00
4.899395470089409e-03 3.785375878116626e+03 1.002325387049393e+00
5.047861923898970e-03 3.671129767261561e+03 9.795392848051054e-01
5.196328370939542e-03 3.556107745198853e+03 9.520656303593080e-01
5.344794811012039e-03 3.448542062105367e+03 9.108901533957592e-01
5.493261243917372e-03 3.339320656727205e+03 8.921899584197656e-01
