<X> <Y> <dY>
1.039265947336785e-03 7.784838175996453e+03 1.440244543010584e+01
1.187732507260276e-03 7.547486031534737e+03 6.342019944255543e+00
1.336199065591062e-03 7.394906976756914e+03 3.893194771144934e+00
1.484665622130054e-03 7.267123888025213e+03 3.374957241341357e+00
1.633132176678164e-03 7.148153401230270e+03 2.680929865452570e+00
1.781598729036305e-03 7.042088879689640e+03 2.543684328239359e+00
1.930065279005388e-03 6.926918897501978e+03 2.383086673048430e+00
2.078531826386324e-03 6.829584225429775e+03 2.217725258784089e+00
2.226998370980027e-03 6.724893014062641e+03 2.200661804091121e+00
2.375464912587407e-03 6.621898896539537e+03 1.991236072809265e+00
2.523931451009377e-03 6.519240067946355e+03 2.009906013429449e+00
2.672397986046849e-03 6.415175168829429e+03 1.848973789131898e+00
2.820864517500735e-03 6.314615474488646e+03 1.781751053610834e+00
2.969331045171946e-03 6.207016231418153e+03 1.758231519911435e+00
3.117797568861397e-03 6.105650139945935e+03 1.660548144201432e+00
3.266264088369997e-03 5.997754908024436e+03 1.618605337119898e+00
3.414730603498659e-03 5.875943650476946e+03 1.558010896587801e+00
3.563197114048295e-03 5.775301020946280e+03 1.504334454403226e+00
3.711663619819818e-03 5.677212160256909e+03 1.464821005903840e+00
3.860130120614143e-03 5.566462429770592e+03 1.387892548175230e+00
4.008596616232176e-03 5.442470546336189e+03 1.385913558849251e+00
4.157063106474833e-03 5.338146520177468e+03 1.333404258943285e+00
4.305529591143026e-03 5.229717746607032e+03 1.287985813573987e+00
4.453996070037668e-03 5.117214504110589e+03 1.270281770135341e+00
4.602462542959671e-03 5.005247647003888e+03 1.204011103891008e+00
4.750929009709947e-03 4.893099135296658e+03 1.184028527199930e+00
4.899395470089409e-03 4.782037019015816e+03 1.146125685242910e+00
5.047861923898970e-03 4.669215365154536e+03 1.123868493521025e+00
5.196328370939542e-03 4.556093710381716e+03 1.096345173963791e+00
5.344794811012039e-03 4.439111257423114e+03 1.051399610797641e+00
5.493261243917372e-03 4.325317597330679e+03 1.033020222316513e+00
5.641727669456453e-03 4.210481594256151e+03 9.986224839011066e-01
5.790194087430198e-03 4.095898678899158e+03 9.805921250015752e-01
5.938660497639517e-03 3.983634737994355e+03 9.424700274507670e-01
6.087126899885325e-03 3.870360967378866e+03 9.309235466970528e-01
6.235593293968535e-03 3.757997962881475e+03 8.986264642224743e-01
6.384059679690060e-03 3.644164022119337e+03 8.675927138238293e-01
6.532526056850811e-03 3.527992020557595e+03 8.454982844673399e-01
6.680992425251704e-03 3.419877812406129e+03 8.292952597999904e-01
6.829458784693651e-03 3.308504067717119e+03 8.126191425527973e-01
6.977925134977566e-03 3.198882192133163e+03 7.747593283580749e-01
7.126391475904362e-03 3.091701329468617e+03 7.643655260267567e-01
7.274857807274953e-03 2.983192587525434e+03 7.328611306073497e-01
7.423324128890250e-03 2.876692917614040e+03 7.136584652185460e-01
7.571790440551172e-03 2.772273519761000e+03 7.017531131767542e-01
7.720256742058629e-03 2.667624410332422e+03 6.750127892949426e-01
7.868723033213537e-03 2.568801947656795e+03 6.623918667392142e-01
8.017189313816805e-03 2.466484734929144e+03 6.379181413406708e-01
8.165655583669350e-03 2.367969113862629e+03 6.146696963332967e-01
8.314121842572089e-03 2.269343142166954e+03 6.008343064802905e-01
8.462588090325933e-03 2.173267829306645e+03 5.768914021884727e-01
8.611054326731796e-03 2.079887727219269e+03 5.709624834077971e-01
8.759520551590594e-03 1.987819445012168e+03 5.439688887634538e-01
8.907986764703241e-03 1.898431415791786e+03 5.301189591335942e-01
9.056452965870650e-03 1.810544097391842e+03 5.127417434088535e-01
9.204919154893739e-03 1.724039374606442e+03 4.930090238316677e-01
9.353385331573419e-03 1.640534717723616e+03 4.854370953862946e-01
9.501851495710607e-03 1.558745306198476e+03 4.626994079078138e-01
9.650317647106216e-03 1.479774007502959e+03 4.485201059041487e-01
9.798783785561163e-03 1.401918373751931e+03 4.332585136612680e-01
9.947249910876360e-03 1.327096792699802e+03 4.163403679907854e-01
1.009571602285273e-02 1.255108748086820e+03 4.068902894760828e-01
1.024418212129118e-02 1.185207494205734e+03 3.864153473460643e-01
1.039264820599262e-02 1.115785906757665e+03 3.794397218317524e-01
1.054111427675798e-02 1.049358100193759e+03 3.602057450026622e-01
1.068958033338818e-02 9.866240070067970e+02 3.452899858242470e-01
1.083804637568411e-02 9.242563752432656e+02 3.364953487570116e-01
1.098651240344671e-02 8.651820864722451e+02 3.186789136876884e-01
1.113497841647688e-02 8.086987222595893e+02 3.105039582881162e-01
1.128344441457554e-02 7.541462738047877e+02 2.949404648043454e-01
1.143191039754362e-02 7.017672248803016e+02 2.814836178637881e-01
1.158037636518202e-02 6.516100503454530e+02 2.744549307261475e-01
1.172884231729166e-02 6.052121171205546e+02 2.581420591729395e-01
1.187730825367346e-02 5.590887729637216e+02 2.478547183093323e-01
1.202577417412833e-02 5.154346470455597e+02 2.358039280170515e-01
1.217424007845719e-02 4.741872062315231e+02 2.250361974468091e-01
1.232270596646097e-02 4.356625033143135e+02 2.167900703108155e-01
1.247117183794057e-02 3.990510824355521e+02 2.026176007830266e-01
1.261963769269691e-02 3.636406959554919e+02 1.943593295106439e-01
1.276810353053091e-02 3.307254673999307e+02 1.823575515511597e-01
1.291656935124349e-02 2.998394848179767e+02 1.746251006342695e-01
1.306503515463557e-02 2.711782126398214e+02 1.648160555411737e-01
1.321350094050805e-02 2.443229922237546e+02 1.541415989616801e-01
1.336196670866187e-02 2.186846557918706e+02 1.462308178822446e-01
1.351043245889793e-02 1.953869822111002e+02 1.368480005425015e-01
1.365889819101716e-02 1.737601618196219e+02 1.292850473856363e-01
1.380736390482048e-02 1.539053349274117e+02 1.198496842198411e-01
1.395582960010879e-02 1.351522274181914e+02 1.122126288186891e-01
1.410429527668303e-02 1.182480150116562e+02 1.048691632071607e-01
1.425276093434411e-02 1.028960402940005e+02 9.689940910231572e-02
1.440122657289295e-02 8.880146983736687e+01 8.925758110539907e-02
1.454969219213047e-02 7.587206155898960e+01 8.175071343834515e-02
1.469815779185758e-02 6.435475162074486e+01 7.585697394898082e-02
1.484662337187521e-02 5.414954571573392e+01 6.894955006620111e-02
1.499508893198428e-02 4.512286597342224e+01 6.237815321731311e-02
1.514355447198570e-02 3.717756437268742e+01 5.634775583079146e-02
1.529201999168039e-02 3.020910808658066e+01 5.055069935716119e-02
1.544048549086928e-02 2.417666932271156e+01 4.525863424059361e-02
1.558895096935328e-02 1.909666401440312e+01 3.972166721189171e-02
1.573741642693332e-02 1.482724061199995e+01 3.500087676927088e-02
1.588588186341031e-02 1.126821123142135e+01 3.025549235383725e-02
1.603434727858518e-02 8.538933333428556e+00 2.611966429301656e-02
1.618281267225884e-02 6.468975363102841e+00 2.301208623050268e-02
1.633127804423223e-02 4.977594892463345e+00 1.979448562172092e-02
1.647974339430625e-02 4.093396587587705e+00 1.792403768396687e-02
1.662820872228182e-02 3.649649106300612e+00 1.685035818886734e-02
1.677667402795988e-02 3.723636771873014e+00 1.692177626901897e-02
1.692513931114134e-02 4.194703007641005e+00 1.797324591073274e-02
1.707360457162713e-02 5.019896181253865e+00 1.932946598277585e-02
1.722206980921815e-02 6.200579583384639e+00 2.183627574496485e-02
1.737053502371535e-02 7.560026193600729e+00 2.360595586935610e-02
1.751900021491964e-02 9.274333997287791e+00 2.602010657490400e-02
1.766746538263194e-02 1.116191540689938e+01 2.874301332561688e-02
1.781593052665317e-02 1.320386564112691e+01 3.081560308771493e-02
1.796439564678426e-02 1.532344461804544e+01 3.344614326362037e-02
1.811286074282614e-02 1.753050934486378e+01 3.534075227191460e-02
1.826132581457971e-02 1.973840405680746e+01 3.730134473908225e-02
1.840979086184591e-02 2.222401083489821e+01 3.958035993078806e-02
1.855825588442566e-02 2.455720749461990e+01 4.119948298834769e-02
1.870672088211989e-02 2.688130410592752e+01 4.330200458816990e-02
1.885518585472951e-02 2.916682911905646e+01 4.546374963281739e-02
1.900365080205546e-02 3.145153734534485e+01 4.765652494404398e-02
1.915211572389865e-02 3.358823314636830e+01 4.931560153310370e-02
1.930058062006001e-02 3.577697102310696e+01 5.121112210645763e-02
1.944904549034047e-02 3.773542690282341e+01 5.379129438743225e-02
1.959751033454094e-02 3.961842357421098e+01 5.519653209553745e-02
1.974597515246237e-02 4.134053114484909e+01 5.751495408281940e-02
1.989443994390566e-02 4.306669526731321e+01 5.910415417617729e-02
2.004290470867175e-02 4.434726164500829e+01 6.002213708040496e-02
2.019136944656156e-02 4.567743141302957e+01 6.119616139365606e-02
2.033983415737602e-02 4.684587752128196e+01 6.240749492836769e-02
2.048829884091604e-02 4.778707093364586e+01 6.342835960704460e-02
2.063676349698258e-02 4.859618833226757e+01 6.371195719996531e-02
2.078522812537653e-02 4.934410383999121e+01 6.502085522607937e-02
2.093369272589884e-02 4.974950506445167e+01 6.533996140205098e-02
2.108215729835043e-02 5.011710495632945e+01 6.563379095816960e-02
2.123062184253223e-02 5.042605968701253e+01 6.637323736689461e-02
2.137908635824515e-02 5.024770799090055e+01 6.609343878335967e-02
2.152755084529015e-02 5.020436208830631e+01 6.628154052114552e-02
2.167601530346813e-02 4.975391244187691e+01 6.636604590942358e-02
2.182447973258003e-02 4.958744458450407e+01 6.675582142955881e-02
2.197294413242678e-02 4.883952602009290e+01 6.569884707223463e-02
2.212140850280929e-02 4.810681044999622e+01 6.446016925705907e-02
2.226987284352852e-02 4.742062216295646e+01 6.389532730393446e-02
2.241833715438537e-02 4.643999653720775e+01 6.213666396437423e-02
2.256680143518079e-02 4.541697914047032e+01 6.164109188542172e-02
2.271526568571569e-02 4.439133828856051e+01 5.996076271566821e-02
2.286372990579102e-02 4.304695474801603e+01 5.838411758133028e-02
2.301219409520770e-02 4.178731383986368e+01 5.804336651172151e-02
2.316065825376665e-02 4.046420533541422e+01 5.623082777691867e-02
2.330912238126882e-02 3.901578261398615e+01 5.587457899508549e-02
2.345758647751513e-02 3.746393948545803e+01 5.355911349218247e-02
2.360605054230651e-02 3.592727300059822e+01 5.314086505210205e-02
2.375451457544390e-02 3.438343808143279e+01 5.172026795058503e-02
2.390297857672821e-02 3.277127090154364e+01 4.959626040507908e-02
2.405144254596040e-02 3.113212403703178e+01 4.889406746631187e-02
2.419990648294138e-02 2.942964206514326e+01 4.713263598663461e-02
2.434837038747209e-02 2.789320656714729e+01 4.601636600389849e-02
2.449683425935346e-02 2.615890878134014e+01 4.443643179841197e-02
2.464529809838643e-02 2.460957693651776e+01 4.229917216415181e-02
2.479376190437193e-02 2.294587481436866e+01 4.158861417929971e-02
2.494222567711088e-02 2.135263594278138e+01 3.950880505034281e-02
2.509068941640423e-02 1.985236459993593e+01 3.846671296667559e-02
2.523915312205290e-02 1.831156773244061e+01 3.651230625896264e-02
2.538761679385784e-02 1.688589128958042e+01 3.499052295688698e-02
2.553608043161997e-02 1.543702318088067e+01 3.357009135349810e-02
2.568454403514022e-02 1.401120077901611e+01 3.174393902212420e-02
2.583300760421955e-02 1.274230963523201e+01 3.041643820828975e-02
2.598147113865888e-02 1.148612827372451e+01 2.853055945406734e-02
2.612993463825913e-02 1.037907852095673e+01 2.722967326895736e-02
2.627839810282126e-02 9.190746035686779e+00 2.567517956647007e-02
2.642686153214619e-02 8.147091002200481e+00 2.387021774387172e-02
2.657532492603487e-02 7.179965486707397e+00 2.237933364039029e-02
2.672378828428821e-02 6.298788862500089e+00 2.092009079655539e-02
2.687225160670718e-02 5.452958322970650e+00 1.960595417154846e-02
2.702071489309268e-02 4.720607916630036e+00 1.815806466506068e-02
2.716917814324569e-02 3.992693897268181e+00 1.652712120838159e-02
2.731764135696711e-02 3.389778025254995e+00 1.535692451116138e-02
2.746610453405790e-02 2.860509480944456e+00 1.398000962220788e-02
2.761456767431899e-02 2.359331355182349e+00 1.265589285063538e-02
2.776303077755132e-02 1.963546285481215e+00 1.159004342166883e-02
2.791149384355582e-02 1.630604313950806e+00 1.047478206191538e-02
2.805995687213344e-02 1.346737990888273e+00 9.549652224436876e-03
2.820841986308512e-02 1.119752425504312e+00 8.696729140623666e-03
2.835688281621178e-02 9.927081782329896e-01 8.132036517738110e-03
2.850534573131439e-02 8.917189789004935e-01 7.707305960414379e-03
2.865380860819386e-02 8.461038995346737e-01 7.498222563840300e-03
2.880227144665114e-02 8.782312595465104e-01 7.644021952443830e-03
2.895073424648718e-02 9.217439470318948e-01 7.831098790338088e-03
2.909919700750293e-02 1.016451407294741e+00 8.117855031629139e-03
2.924765972949930e-02 1.158985516680597e+00 8.721575717654251e-03
2.939612241227725e-02 1.338477744989688e+00 9.315447249780234e-03
2.954458505563771e-02 1.558829592066286e+00 1.007143813632441e-02
2.969304765938165e-02 1.801579580424195e+00 1.077477394858684e-02
2.984151022330999e-02 2.055671539051614e+00 1.150955099700094e-02
2.998997274722367e-02 2.346565673384462e+00 1.231933042363127e-02
3.013843523092363e-02 2.660794133315124e+00 1.306289863688000e-02
3.028689767421083e-02 3.007562737436754e+00 1.374004051249019e-02
3.043536007688621e-02 3.312731404152282e+00 1.455811687737762e-02
3.058382243875071e-02 3.664711528596074e+00 1.524807164863946e-02
3.073228475960527e-02 3.999168437339065e+00 1.585337278372055e-02
3.088074703925083e-02 4.368565149242044e+00 1.662831309319597e-02
3.102920927748836e-02 4.750261579277695e+00 1.715712235852092e-02
