<X> <Y> <dY>
1.039265947336785e-03 7.818801544726985e+03 1.396836060249667e+01
1.187732507260276e-03 7.300694150081828e+03 6.036322314031310e+00
1.336199065591062e-03 6.856366002909287e+03 3.627861255883731e+00
1.484665622130054e-03 6.540835459802479e+03 3.098614182881348e+00
1.633132176678164e-03 6.280635458790323e+03 2.431947601614353e+00
1.781598729036305e-03 6.065491568274418e+03 2.284595748302701e+00
1.930065279005388e-03 5.872138418775733e+03 2.123400073242782e+00
2.078531826386324e-03 5.716184673582689e+03 1.963485213873770e+00
2.226998370980027e-03 5.566152322088043e+03 1.937546163411573e+00
2.375464912587407e-03 5.425851997128797e+03 1.744332808480676e+00
2.523931451009377e-03 5.300586563955425e+03 1.753893132355642e+00
2.672397986046849e-03 5.173404652868782e+03 1.606862142519908e+00
2.820864517500735e-03 5.062104084710579e+03 1.543842542088234e+00
2.969331045171946e-03 4.949336362780959e+03 1.519399591055434e+00
3.117797568861397e-03 4.843094846949696e+03 1.431234843131827e+00
3.266264088369997e-03 4.732526346138087e+03 1.391416119022743e+00
3.414730603498659e-03 4.616604533094837e+03 1.336462925989163e+00
3.563197114048295e-03 4.517497062963238e+03 1.287567270220698e+00
3.711663619819818e-03 4.418716166049306e+03 1.250630308072297e+00
3.860130120614143e-03 4.316980098881181e+03 1.182823993236556e+00
4.008596616232176e-03 4.203783786891426e+03 1.178751299928823e+00
4.157063106474833e-03 4.110111171109424e+03 1.132288969935423e+00
4.305529591143026e-03 4.008643615347663e+03 1.091275933280193e+00
4.453996070037668e-03 3.909494040921821e+03 1.074502503082804e+00
4.602462542959671e-03 3.804581516795293e+03 1.015862790992548e+00
4.750929009709947e-03 3.706063556914949e+03 9.972188737411425e-01
4.899395470089409e-03 3.606648821644727e+03 9.632557417856501e-01
5.047861923898970e-03 3.506105093124927e+03 9.424751487556227e-01
5.196328370939542e-03 3.403261355056474e+03 9.169856419044597e-01
5.344794811012039e-03 3.305320540161830e+03 8.779918559637572e-01
5.493261243917372e-03 3.206706008072616e+03 8.607822329104931e-01
5.641727669456453e-03 3.107828989094693e+03 8.302863713942419e-01
5.790194087430198e-03 3.008256870997282e+03 8.132707573234260e-01
5.938660497639517e-03 2.911982279198056e+03 7.798050716220807e-01
6.087126899885325e-03 2.814046956646298e+03 7.681885845835049e-01
6.235593293968535e-03 2.720716119397829e+03 7.399569408384655e-01
6.384059679690060e-03 2.625738512878821e+03 7.126996974526060e-01
6.532526056850811e-03 2.528399449951734e+03 6.926848299715274e-01
6.680992425251704e-03 2.437764973647450e+03 6.775848761372184e-01
6.829458784693651e-03 2.347744530683344e+03 6.624613269875221e-01
6.977925134977566e-03 2.255396914206596e+03 6.295686316863746e-01
7.126391475904362e-03 2.167795793986229e+03 6.194060017431647e-01
7.274857807274953e-03 2.078508594672364e+03 5.919988380011607e-01
7.423324128890250e-03 1.994699173511662e+03 5.751038470711960e-01
7.571790440551172e-03 1.907830758842650e+03 5.633783222522167e-01
7.720256742058629e-03 1.825287101740770e+03 5.403549717639557e-01
7.868723033213537e-03 1.744719055051620e+03 5.282947949477587e-01
8.017189313816805e-03 1.664432792598046e+03 5.071340467053187e-01
8.165655583669350e-03 1.586814605401153e+03 4.869459743167671e-01
8.314121842572089e-03 1.509137653235570e+03 4.741687888943134e-01
8.462588090325933e-03 1.434020576493441e+03 4.535018171729526e-01
8.611054326731796e-03 1.360885464840919e+03 4.469534703289336e-01
8.759520551590594e-03 1.290028737156188e+03 4.240813622322106e-01
8.907986764703241e-03 1.222454383782061e+03 4.116765326042096e-01
9.056452965870650e-03 1.154009672888907e+03 3.961528148439978e-01
9.204919154893739e-03 1.090557929763927e+03 3.794630976668305e-01
9.353385331573419e-03 1.027542589814798e+03 3.717954433805651e-01
9.501851495710607e-03 9.673266691235533e+02 3.527457942549115e-01
9.650317647106216e-03 9.089166664630787e+02 3.401810768174655e-01
9.798783785561163e-03 8.520537883389776e+02 3.268760842758940e-01
