<X> <Y> <dY>
1.039265947336785e-03 3.426988283628704e+02 2.840186420375491e+00
1.187732507260276e-03 3.237737789231338e+02 1.234600289950440e+00
1.336199065591062e-03 1.554671846790752e+02 5.305645560449362e-01
1.484665622130054e-03 1.095806079603516e+02 3.895228497196930e-01
1.633132176678164e-03 9.351318596843514e+01 2.882066786683648e-01
1.781598729036305e-03 6.055027478729058e+01 2.216917927954494e-01
1.930065279005388e-03 4.815568449524096e+01 1.867551813729245e-01
2.078531826386324e-03 4.084906087794325e+01 1.612058291027540e-01
2.226998370980027e-03 2.833669080822888e+01 1.342654508997419e-01
2.375464912587407e-03 2.380152055979535e+01 1.122051841710262e-01
2.523931451009377e-03 2.136103225458529e+01 1.081352960299591e-01
2.672397986046849e-03 1.603592700094631e+01 8.688656405537151e-02
2.820864517500735e-03 1.404234763351357e+01 7.897188832386835e-02
2.969331045171946e-03 1.232148364378613e+01 7.362837513388357e-02
3.117797568861397e-03 9.819599290775106e+00 6.259094232135258e-02
3.266264088369997e-03 8.581568279797548e+00 5.754519087072361e-02
3.414730603498659e-03 7.777237729961563e+00 5.327500018230723e-02
3.563197114048295e-03 6.563817655652485e+00 4.766662867814214e-02
3.711663619819818e-03 5.976810313465846e+00 4.467152991938941e-02
3.860130120614143e-03 5.311783918544605e+00 4.029633012769800e-02
4.008596616232176e-03 4.662832796577164e+00 3.812783224791774e-02
4.157063106474833e-03 4.346998263110470e+00 3.576353333687655e-02
4.305529591143026e-03 3.823908237837757e+00 3.273442966048715e-02
4.453996070037668e-03 3.463662423664166e+00 3.106205086773812e-02
4.602462542959671e-03 3.093284755063528e+00 2.813239786121521e-02
4.750929009709947e-03 2.799073880507394e+00 2.661683624089652e-02
4.899395470089409e-03 2.533437774693011e+00 2.479476476970120e-02
5.047861923898970e-03 2.364140494782875e+00 2.376891061457212e-02
5.196328370939542e-03 2.116613949314882e+00 2.221012000845452e-02
5.344794811012039e-03 1.965147322879354e+00 2.079200864486588e-02
5.493261243917372e-03 1.727693458112467e+00 1.940493801009304e-02
5.641727669456453e-03 1.603348457537448e+00 1.831591019838679e-02
5.790194087430198e-03 1.479513351112599e+00 1.751670177458572e-02
5.938660497639517e-03 1.372530210805985e+00 1.644249965796473e-02
6.087126899885325e-03 1.290076726051809e+00 1.597442163093531e-02
6.235593293968535e-03 1.159658670409403e+00 1.483696652568683e-02
6.384059679690060e-03 1.045554520665630e+00 1.381240719842372e-02
6.532526056850811e-03 9.827168390917086e-01 1.326301392607847e-02
6.680992425251704e-03 8.962457991817954e-01 1.261817504385114e-02
6.829458784693651e-03 8.311706297830068e-01 1.210585309731643e-02
6.977925134977566e-03 7.938499191425159e-01 1.147138845132380e-02
7.126391475904362e-03 7.318690504312115e-01 1.105345656975181e-02
7.274857807274953e-03 6.770549561633145e-01 1.037700668379854e-02
7.423324128890250e-03 6.120055677460939e-01 9.783639667836744e-03
7.571790440551172e-03 5.614759279773404e-01 9.386657539841700e-03
7.720256742058629e-03 5.253954081667997e-01 8.903728106138507e-03
7.868723033213537e-03 4.899365452186414e-01 8.598024754017901e-03
8.017189313816805e-03 4.771867049215426e-01 8.339672527148361e-03
8.165655583669350e-03 4.380732835757663e-01 7.857895753327277e-03
8.314121842572089e-03 4.038817455242490e-01 7.533743723488469e-03
8.462588090325933e-03 3.908234458673857e-01 7.271212527244523e-03
8.611054326731796e-03 3.752344727678847e-01 7.208054882265649e-03
8.759520551590594e-03 3.525544404982717e-01 6.808912953201164e-03
8.907986764703241e-03 3.231340267136660e-01 6.500493372932329e-03
9.056452965870650e-03 3.150465971633771e-01 6.357122963371591e-03
9.204919154893739e-03 2.932997239995563e-01 6.043885088512935e-03
9.353385331573419e-03 2.962958485096974e-01 6.131717304856205e-03
