<X> <Y> <dY>
6.260251155931955e-02 3.424694283704584e+02 3.424694283704584e+01
6.455883912949442e-02 3.398142108085480e+02 3.398142108085479e+01
6.651516661511052e-02 3.356659186490925e+02 3.356659186490926e+01
6.847149401360547e-02 3.318441449552004e+02 3.318441449552004e+01
7.042782132241687e-02 3.295612776431610e+02 3.295612776431610e+01
7.238414853898240e-02 3.286008787152908e+02 3.286008787152908e+01
7.434047566073962e-02 3.257812552324209e+02 3.257812552324209e+01
7.629680268512617e-02 3.222759953421972e+02 3.222759953421972e+01
7.825312960957970e-02 3.216345462046946e+02 3.216345462046947e+01
8.020945643153780e-02 3.199706523680592e+02 3.199706523680592e+01
8.216578314843812e-02 3.177314994566781e+02 3.177314994566781e+01
8.412210975771828e-02 3.141634694357004e+02 3.141634694357004e+01
8.607843625681592e-02 3.145629724660112e+02 3.145629724660112e+01
8.803476264316862e-02 3.126939107689997e+02 3.126939107689997e+01
8.999108891421406e-02 3.101508532523650e+02 3.101508532523650e+01
9.194741506738988e-02 3.081677789501032e+02 3.081677789501033e+01
9.390374110013361e-02 3.077209176011337e+02 3.077209176011337e+01
9.586006700988300e-02 3.052798697564637e+02 3.052798697564637e+01
9.781639279407561e-02 3.044618989962470e+02 3.044618989962470e+01
9.977271845014909e-02 3.028502087562112e+02 3.028502087562112e+01
1.017290439755411e-01 2.987969013422638e+02 2.987969013422638e+01
1.036853693676893e-01 2.982707161199380e+02 2.982707161199380e+01
1.056416946240312e-01 2.969847827809567e+02 2.969847827809567e+01
1.075980197420046e-01 2.953144085237230e+02 2.953144085237230e+01
1.095543447190470e-01 2.943565125500888e+02 2.943565125500888e+01
1.115106695525961e-01 2.920040275297966e+02 2.920040275297967e+01
1.134669942400896e-01 2.905174298781500e+02 2.905174298781500e+01
1.154233187789650e-01 2.895020741080042e+02 2.895020741080042e+01
1.173796431666601e-01 2.864875725473968e+02 2.864875725473968e+01
1.193359674006124e-01 2.859393350042619e+02 2.859393350042619e+01
1.212922914782596e-01 2.844076403895262e+02 2.844076403895262e+01
1.232486153970394e-01 2.820383840190920e+02 2.820383840190920e+01
1.252049391543894e-01 2.795642562904255e+02 2.795642562904256e+01
1.271612627477472e-01 2.789095285349798e+02 2.789095285349798e+01
1.291175861745505e-01 2.760743631964373e+02 2.760743631964374e+01
1.310739094322370e-01 2.760334433991453e+02 2.760334433991453e+01
1.330302325182443e-01 2.740219332230260e+02 2.740219332230260e+01
1.349865554300101e-01 2.715417075949862e+02 2.715417075949862e+01
1.369428781649719e-01 2.692771395742369e+02 2.692771395742369e+01
1.388992007205676e-01 2.689600784670971e+02 2.689600784670971e+01
1.408555230942346e-01 2.650468612582036e+02 2.650468612582037e+01
1.428118452834107e-01 2.639014719534654e+02 2.639014719534654e+01
1.447681672855337e-01 2.627667530638740e+02 2.627667530638740e+01
1.467244890980409e-01 2.610108247158257e+02 2.610108247158257e+01
1.486808107183703e-01 2.594307004638787e+02 2.594307004638787e+01
1.506371321439594e-01 2.572262054382285e+02 2.572262054382285e+01
1.525934533722459e-01 2.572630519756330e+02 2.572630519756330e+01
1.545497744006674e-01 2.549550933847985e+02 2.549550933847986e+01
1.565060952266617e-01 2.517225693960301e+02 2.517225693960301e+01
1.584624158476664e-01 2.499363453838102e+02 2.499363453838103e+01
1.604187362611192e-01 2.500698175067456e+02 2.500698175067456e+01
1.623750564644577e-01 2.465130215963981e+02 2.465130215963981e+01
1.643313764551196e-01 2.454138193419772e+02 2.454138193419773e+01
1.662876962305427e-01 2.427745779016620e+02 2.427745779016620e+01
1.682440157881645e-01 2.417535244721122e+02 2.417535244721122e+01
1.702003351254228e-01 2.402229019932783e+02 2.402229019932783e+01
1.721566542397553e-01 2.376658495466897e+02 2.376658495466897e+01
1.741129731285995e-01 2.367059596705852e+02 2.367059596705852e+01
1.760692917893933e-01 2.360008449874776e+02 2.360008449874776e+01
1.780256102195742e-01 2.338537758066097e+02 2.338537758066097e+01
1.799819284165801e-01 2.311688432159568e+02 2.311688432159568e+01
1.819382463778485e-01 2.290748968190035e+02 2.290748968190035e+01
1.838945641008173e-01 2.270825161421992e+02 2.270825161421992e+01
1.858508815829239e-01 2.259343104149152e+02 2.259343104149152e+01
1.878071988216062e-01 2.232844927894492e+02 2.232844927894492e+01
1.897635158143019e-01 2.219694716964939e+02 2.219694716964939e+01
