<X> <Y>
6.260251155931955e-02 3.101985651666788e+02
6.455883912949442e-02 3.094233361060282e+02
6.651516661511052e-02 3.086848498195214e+02
6.847149401360547e-02 3.078835671658091e+02
7.042782132241687e-02 3.070871245128436e+02
7.238414853898240e-02 3.062426621624721e+02
7.434047566073962e-02 3.053672861359473e+02
7.629680268512617e-02 3.045186930089641e+02
7.825312960957970e-02 3.036421213123663e+02
8.020945643153780e-02 3.027363819941253e+02
8.216578314843812e-02 3.017987258542098e+02
8.412210975771828e-02 3.008422028833361e+02
8.607843625681592e-02 2.998218921331336e+02
8.803476264316862e-02 2.988369984851713e+02
8.999108891421406e-02 2.978304166207728e+02
9.194741506738988e-02 2.968135822944527e+02
9.390374110013361e-02 2.957739963913264e+02
9.586006700988300e-02 2.947163662801807e+02
9.781639279407561e-02 2.936360679814252e+02
9.977271845014909e-02 2.925445774172581e+02
1.017290439755411e-01 2.914323060853526e+02
1.036853693676893e-01 2.903053137417444e+02
1.056416946240312e-01 2.891627352435756e+02
1.075980197420046e-01 2.880037199204608e+02
1.095543447190470e-01 2.868240547065076e+02
1.115106695525961e-01 2.856269347180627e+02
1.134669942400896e-01 2.844040588716260e+02
1.154233187789650e-01 2.831839054260949e+02
1.173796431666601e-01 2.819465451940404e+02
1.193359674006124e-01 2.806986884284402e+02
1.212922914782596e-01 2.794298233829713e+02
1.232486153970394e-01 2.781491142437513e+02
1.252049391543894e-01 2.768569487432468e+02
1.271612627477472e-01 2.755428989263675e+02
1.291175861745505e-01 2.742211932320456e+02
1.310739094322370e-01 2.728865875620385e+02
1.330302325182443e-01 2.715378989286860e+02
1.349865554300101e-01 2.701805996744892e+02
1.369428781649719e-01 2.688078147429659e+02
1.388992007205676e-01 2.674230914456907e+02
1.408555230942346e-01 2.660289133077463e+02
1.428118452834107e-01 2.646202180153255e+02
1.447681672855337e-01 2.632003803843155e+02
1.467244890980409e-01 2.617734931128996e+02
1.486808107183703e-01 2.603315320766011e+02
1.506371321439594e-01 2.588858195999430e+02
1.525934533722459e-01 2.574253146366975e+02
1.545497744006674e-01 2.559574658369903e+02
1.565060952266617e-01 2.544771836562022e+02
1.584624158476664e-01 2.529892112950893e+02
1.604187362611192e-01 2.514987911382709e+02
1.623750564644577e-01 2.499948621435308e+02
1.643313764551196e-01 2.484843038966135e+02
1.662876962305427e-01 2.469633557784924e+02
1.682440157881645e-01 2.454379106223601e+02
1.702003351254228e-01 2.438911195135197e+02
1.721566542397553e-01 2.423515291788281e+02
1.741129731285995e-01 2.408065345669807e+02
1.760692917893933e-01 2.392554680736337e+02
1.780256102195742e-01 2.376976694447169e+02
1.799819284165801e-01 2.361327610640440e+02
1.819382463778485e-01 2.345672488548352e+02
1.838945641008173e-01 2.329937038230725e+02
1.858508815829239e-01 2.314164605823930e+02
1.878071988216062e-01 2.298349567180871e+02
1.897635158143019e-01 2.282469877769470e+02
1.917198325584486e-01 2.266580268716549e+02
1.936761490514841e-01 2.250636073237705e+02
1.956324652908460e-01 2.234688121071577e+02
1.975887812739722e-01 2.218690610336006e+02
1.995450969983001e-01 2.202678704164403e+02
2.015014124612677e-01 2.186641960472680e+02
2.034577276603126e-01 2.170579902195608e+02
2.054140425928724e-01 2.154510626715982e+02
2.073703572563849e-01 2.138427388942949e+02
2.093266716482879e-01 2.122335113763091e+02
2.112829857660191e-01 2.106228788383071e+02
2.132392996070161e-01 2.090112466700702e+02
2.151956131687167e-01 2.074000427756827e+02
2.171519264485586e-01 2.057885917759765e+02
2.191082394439797e-01 2.041778175118625e+02
2.210645521524174e-01 2.025673537349111e+02
2.230208645713097e-01 2.009564301945846e+02
2.249771766980943e-01 1.993454480568794e+02
2.269334885302087e-01 1.977380026919357e+02
2.288898000650909e-01 1.961324842784908e+02
2.308461113001786e-01 1.945308522150625e+02
2.328024222329095e-01 1.929288214110190e+02
2.347587328607212e-01 1.913292844564812e+02
2.367150431810518e-01 1.897345454291646e+02
2.386713531913387e-01 1.881396191490860e+02
2.406276628890199e-01 1.865492363638109e+02
2.425839722715329e-01 1.849640632106239e+02
2.445402813363157e-01 1.833795838460190e+02
2.464965900808059e-01 1.818017977448815e+02
2.484528985024414e-01 1.802249885866984e+02
2.504092065986598e-01 1.786519229376082e+02
2.523655143668990e-01 1.770876210102650e+02
2.543218218045968e-01 1.755249476748327e+02
2.577812134425967e-01 1.727760797444125e+02
2.812156666042550e-01 1.546414119084567e+02
3.046500669128310e-01 1.375816724541253e+02
3.280844099641586e-01 1.218405832205598e+02
3.515186913541333e-01 1.075715630764379e+02
3.749529066787172e-01 9.486190367433959e+01
3.983870515339443e-01 8.371908017000409e+01
4.218211215159235e-01 7.409207861535924e+01
4.452551122208454e-01 6.587945849397045e+01
4.686890192449858e-01 5.894595528968500e+01
4.921228381847104e-01 5.313534305888945e+01
5.155565646364808e-01 4.827878716305678e+01
5.389901941968576e-01 4.421050657528176e+01
5.624237224625064e-01 4.077624104693187e+01
5.858571450302017e-01 3.783744629338998e+01
6.092904574968323e-01 3.527870533708764e+01
6.327236554594058e-01 3.300557750865836e+01
6.561567345150531e-01 3.094768100026205e+01
6.795896902610337e-01 2.905412865756699e+01
7.030225182947397e-01 2.729434371511218e+01
7.264552142137013e-01 2.564855688425734e+01
7.498877736155908e-01 2.410848056280057e+01
7.733201920982286e-01 2.267148173468123e+01
7.967524652595861e-01 2.133785093575727e+01
8.201845886977921e-01 2.010853104669053e+01
8.436165580111370e-01 1.898302488013374e+01
8.670483687980767e-01 1.795828675180175e+01
8.904800166572384e-01 1.702876133713918e+01
9.139114971874258e-01 1.618645798979620e+01
9.373428059876222e-01 1.542204105537859e+01
9.607739386569958e-01 1.472487230550848e+01
9.842048907949065e-01 1.408424532537271e+01
1.007635658000907e+00 1.349046674859199e+01
1.031066235874750e+00 1.293523679871737e+01
1.054496620016392e+00 1.241166785031214e+01
1.077926806026001e+00 1.191506027948955e+01
1.101356789503955e+00 1.144215106772666e+01
1.124786566050852e+00 1.099163408913853e+01
1.148216131267515e+00 1.056257240458699e+01
1.171645480754990e+00 1.015525577932922e+01
1.195074610114561e+00 9.769849211928086e+00
1.218503514947747e+00 9.406751604502116e+00
1.241932190856308e+00 9.065695334367881e+00
1.265360633442254e+00 8.746359480658546e+00
1.288788838307841e+00 8.447521605866307e+00
1.312216801055588e+00 8.167672807754514e+00
1.335644517288271e+00 7.905009457966974e+00
1.359071982608932e+00 7.657376727340022e+00
1.382499192620885e+00 7.423255539518031e+00
1.405926142927717e+00 7.200658318580271e+00
1.429352829133298e+00 6.988034062058646e+00
1.452779246841780e+00 6.784240866350915e+00
1.476205391657606e+00 6.588410182089909e+00
1.499631259185511e+00 6.400069568971761e+00
1.523056845030533e+00 6.218989912259823e+00
1.546482144798009e+00 6.045054237746239e+00
1.569907154093586e+00 5.878301933039784e+00
1.593331868523227e+00 5.718782547116101e+00
1.616756283693208e+00 5.566538882758883e+00
1.640180395210130e+00 5.421390996167290e+00
1.663604198680922e+00 5.283152651786420e+00
1.687027689712842e+00 5.151503236271187e+00
1.710450863913488e+00 5.025971745763739e+00
1.733873716890797e+00 4.906096652054249e+00
1.757296244253055e+00 4.791352583614265e+00
1.780718441608894e+00 4.681200852022692e+00
1.804140304567307e+00 4.575179621246368e+00
1.827561828737643e+00 4.472951671280052e+00
1.850983009729618e+00 4.374214283165725e+00
1.874403843153317e+00 4.278701751777083e+00
1.897824324619201e+00 4.186295941861497e+00
1.921244449738106e+00 4.096899251457481e+00
1.944664214121259e+00 4.010491143601681e+00
1.968083613380268e+00 3.927059515755368e+00
1.991502643127139e+00 3.846582812087577e+00
2.014921298974273e+00 3.769051959993788e+00
2.038339576534476e+00 3.694404114408552e+00
2.061757471420960e+00 3.622558755480990e+00
2.085174979247350e+00 3.553505723598545e+00
2.108592095627688e+00 3.486839647331490e+00
2.132008816176435e+00 3.422659678939199e+00
2.155425136508481e+00 3.360686918730767e+00
2.178841052239146e+00 3.300781096600383e+00
2.202256558984185e+00 3.242769444990076e+00
2.225671652359794e+00 3.186488816334262e+00
2.249086327982614e+00 3.131851505183933e+00
2.272500581469735e+00 3.078757698876491e+00
2.295914408438703e+00 3.027120966183764e+00
2.319327804507520e+00 2.976942349773041e+00
2.342740765294654e+00 2.928189877928747e+00
2.366153286419042e+00 2.880828011312730e+00
2.389565363500092e+00 2.834894550244604e+00
2.412976992157692e+00 2.790344111792056e+00
2.436388168012212e+00 2.747211221160699e+00
2.459798886684507e+00 2.705429891061571e+00
2.483209143795928e+00 2.664979205631981e+00
2.506618934968319e+00 2.625805731506231e+00
2.530028255824026e+00 2.587849463332821e+00
2.553437101985901e+00 2.551010548623607e+00
2.576845469077309e+00 2.515223017112504e+00
2.600253352722128e+00 2.480407406306401e+00
2.623660748544756e+00 2.446508613210034e+00
2.647067652170115e+00 2.413455125306938e+00
2.670474059223658e+00 2.381208993824229e+00
2.693879965331372e+00 2.349737014100643e+00
2.717285366119782e+00 2.318981216166104e+00
2.740690257215955e+00 2.289024368059157e+00
2.764094634247509e+00 2.259822566644233e+00
2.787498492842611e+00 2.231389063401961e+00
2.810901828629990e+00 2.203723357690047e+00
2.834304637238932e+00 2.176827386035924e+00
2.857706914299294e+00 2.150694101204150e+00
2.881108655441502e+00 2.125294828469054e+00
2.904509856296556e+00 2.100606432706409e+00
2.927910512496043e+00 2.076584191206639e+00
2.951310619672128e+00 2.053200762723668e+00
2.974710173457571e+00 2.030389964199978e+00
2.998109169485725e+00 2.008131389717782e+00
3.021507603390543e+00 1.986371998323094e+00
3.044905470806579e+00 1.965086824221893e+00
3.068302767368999e+00 1.944261747244269e+00
3.091699488713580e+00 1.923877344312944e+00
3.115095630476720e+00 1.903938267497218e+00
3.138491188295434e+00 1.884447638707456e+00
3.161886157807371e+00 1.865410926720123e+00
3.185280534650806e+00 1.846832002531790e+00
3.208674314464654e+00 1.828718753216970e+00
3.232067492888469e+00 1.811070231382283e+00
3.255460065562451e+00 1.793875456756872e+00
3.278852028127452e+00 1.777118900329073e+00
3.302243376224977e+00 1.760786941827448e+00
3.325634105497191e+00 1.744847494586564e+00
3.349024211586926e+00 1.729274749784674e+00
3.372413690137678e+00 1.714053031486728e+00
3.395802536793621e+00 1.699145897927291e+00
3.419190747199603e+00 1.684541714942092e+00
3.442578317001157e+00 1.670223844076614e+00
3.465965241844506e+00 1.656188217339178e+00
3.489351517376559e+00 1.642434003987849e+00
3.512737139244926e+00 1.628961736049481e+00
3.536122103097918e+00 1.615777612206483e+00
3.559506404584549e+00 1.602884071607531e+00
3.582890039354546e+00 1.590283603604547e+00
3.606273003058350e+00 1.577982611053633e+00
3.629655291347124e+00 1.565977662891411e+00
3.653036899872750e+00 1.554259611200322e+00
3.676417824287843e+00 1.542819792513909e+00
3.699798060245753e+00 1.531636630688370e+00
3.723177603400562e+00 1.520703861869372e+00
3.746556449407099e+00 1.510002155351553e+00
3.769934593920941e+00 1.499517638093103e+00
3.793312032598414e+00 1.489237540219210e+00
3.816688761096603e+00 1.479157388192557e+00
3.840064775073350e+00 1.469273464892699e+00
3.863440070187270e+00 1.459579037550536e+00
3.886814642097740e+00 1.450082547184524e+00
3.910188486464915e+00 1.440781367831879e+00
3.933561598949731e+00 1.431678824358977e+00
3.956933975213909e+00 1.422780496789411e+00
3.980305610919951e+00 1.414082792749554e+00
4.003676501731163e+00 1.405585294361975e+00
4.027046643311639e+00 1.397284258231807e+00
4.050416031326281e+00 1.389172825571656e+00
4.073784661440795e+00 1.381236492851556e+00
4.097152529321701e+00 1.373482067774592e+00
4.120519630636331e+00 1.365881346363099e+00
4.143885961052842e+00 1.358438908600614e+00
4.167251516240213e+00 1.351124547405114e+00
4.190616291868254e+00 1.343944292295858e+00
4.213980283607609e+00 1.336895395358887e+00
4.237343487129761e+00 1.329968798971140e+00
4.260705898107035e+00 1.323155691719175e+00
4.284067512212603e+00 1.316462572861883e+00
4.307428325120496e+00 1.309886449083502e+00
4.330788332505593e+00 1.303429797393889e+00
4.354147530043639e+00 1.297084338051550e+00
4.377505913411246e+00 1.290852940517404e+00
4.400863478285894e+00 1.284735903579242e+00
4.424220220345941e+00 1.278722548818642e+00
4.447576135270619e+00 1.272818963874846e+00
4.470931218740052e+00 1.267006270179205e+00
4.494285466435247e+00 1.261299013170766e+00
4.517638874038106e+00 1.255680936209257e+00
4.540991437231429e+00 1.250152477493205e+00
4.564343151698917e+00 1.244709905915991e+00
4.587694013125182e+00 1.239355677734542e+00
4.611044017195741e+00 1.234086704724973e+00
4.634393159597032e+00 1.228903964066522e+00
4.657741436016409e+00 1.223809843530711e+00
4.681088842142154e+00 1.218817008621712e+00
4.704435373663478e+00 1.213917910637921e+00
4.727781026270526e+00 1.209117531571171e+00
4.751125795654378e+00 1.204415982129764e+00
