<X> <Y> <dY>
1.039265947336785e-03 3.474359401212583e+04 3.039435591664546e+01
1.187732507260276e-03 3.400804215675703e+04 1.344811424437915e+01
1.336199065591062e-03 3.329360286132753e+04 8.252096565581883e+00
1.484665622130054e-03 3.260975673322383e+04 7.141754262710150e+00
1.633132176678164e-03 3.195282259411920e+04 5.662226852728589e+00
1.781598729036305e-03 3.137319025976591e+04 5.363347482168671e+00
1.930065279005388e-03 3.078158886294161e+04 5.018332504058250e+00
2.078531826386324e-03 3.026184431827618e+04 4.663397513692193e+00
2.226998370980027e-03 2.967866122583856e+04 4.618244262179901e+00
2.375464912587407e-03 2.914615498297025e+04 4.173171604097372e+00
2.523931451009377e-03 2.861617645787002e+04 4.206561041429486e+00
2.672397986046849e-03 2.806574144676992e+04 3.863304012753220e+00
2.820864517500735e-03 2.751977315190134e+04 3.715695568958978e+00
2.969331045171946e-03 2.696930497590714e+04 3.661117170705658e+00
3.117797568861397e-03 2.645228089004040e+04 3.452718780772148e+00
3.266264088369997e-03 2.588285339179082e+04 3.358898010117291e+00
3.414730603498659e-03 2.526543903379045e+04 3.227299230909605e+00
3.563197114048295e-03 2.475399837367422e+04 3.111171121482339e+00
3.711663619819818e-03 2.421783523133399e+04 3.022238873143325e+00
3.860130120614143e-03 2.366183498777141e+04 2.858475957749136e+00
4.008596616232176e-03 2.303700402196133e+04 2.848362301724695e+00
4.157063106474833e-03 2.250327410813856e+04 2.734850421779133e+00
4.305529591143026e-03 2.194981999665738e+04 2.635915999687532e+00
4.453996070037668e-03 2.137564597994263e+04 2.593504517201026e+00
4.602462542959671e-03 2.081007093654920e+04 2.452441279941213e+00
4.750929009709947e-03 2.023629091308270e+04 2.405358124830205e+00
4.899395470089409e-03 1.967795372937121e+04 2.322522212386583e+00
5.047861923898970e-03 1.911220012828957e+04 2.271396832361010e+00
5.196328370939542e-03 1.854444333818394e+04 2.209540752402320e+00
5.344794811012039e-03 1.798398215349145e+04 2.114009130194888e+00
5.493261243917372e-03 1.741830792863440e+04 2.070841856198847e+00
5.641727669456453e-03 1.687022721125453e+04 1.996825202698112e+00
5.790194087430198e-03 1.631241842933873e+04 1.954866505173590e+00
5.938660497639517e-03 1.576868752618947e+04 1.873137661960746e+00
6.087126899885325e-03 1.523358704366265e+04 1.844945320493235e+00
6.235593293968535e-03 1.469927736688986e+04 1.775387086811576e+00
6.384059679690060e-03 1.416915627890635e+04 1.708964587082168e+00
6.532526056850811e-03 1.363061448941562e+04 1.660163194237315e+00
6.680992425251704e-03 1.312567704395109e+04 1.622963958833605e+00
6.829458784693651e-03 1.262947091951407e+04 1.586017302819205e+00
6.977925134977566e-03 1.212891723519251e+04 1.507033260400541e+00
7.126391475904362e-03 1.164061670121358e+04 1.481611874222472e+00
7.274857807274953e-03 1.115418659869324e+04 1.415611641981555e+00
7.423324128890250e-03 1.068350307458817e+04 1.373866833816549e+00
7.571790440551172e-03 1.021764132664043e+04 1.345816245922907e+00
7.720256742058629e-03 9.770510690909137e+03 1.290483399730949e+00
7.868723033213537e-03 9.336043094081469e+03 1.261465084582114e+00
8.017189313816805e-03 8.913618266089092e+03 1.211425978623279e+00
8.165655583669350e-03 8.502505822503046e+03 1.163513388624999e+00
8.314121842572089e-03 8.091430640747370e+03 1.133343153501365e+00
8.462588090325933e-03 7.697306400395076e+03 1.084553445204424e+00
8.611054326731796e-03 7.312465787539991e+03 1.069457869133624e+00
8.759520551590594e-03 6.930122263015407e+03 1.014612417070564e+00
8.907986764703241e-03 6.562353445980641e+03 9.845773020765410e-01
9.056452965870650e-03 6.195951448617470e+03 9.475284428919554e-01
9.204919154893739e-03 5.850162792222707e+03 9.072132493953464e-01
9.353385331573419e-03 5.516441067025084e+03 8.892295153829993e-01
9.501851495710607e-03 5.195058348772007e+03 8.438217385402923e-01
9.650317647106216e-03 4.890620531419981e+03 8.145360914565459e-01
9.798783785561163e-03 4.596777109640173e+03 7.837121772664040e-01
9.947249910876360e-03 4.314780857956130e+03 7.499299939474701e-01
1.009571602285273e-02 4.045689813387779e+03 7.297549816051461e-01
1.024418212129118e-02 3.787939128299907e+03 6.900853352705799e-01
1.039264820599262e-02 3.537579870938061e+03 6.749158302482957e-01
1.054111427675798e-02 3.301030357687976e+03 6.382012712403891e-01
1.068958033338818e-02 3.074422019789797e+03 6.088832329476899e-01
1.083804637568411e-02 2.853757110906115e+03 5.906571582780220e-01
1.098651240344671e-02 2.649240219444789e+03 5.570630705932689e-01
1.113497841647688e-02 2.452767421929931e+03 5.401894240900906e-01
1.128344441457554e-02 2.266552417052127e+03 5.107796419483120e-01
1.143191039754362e-02 2.089798398903202e+03 4.852358837758730e-01
1.158037636518202e-02 1.922885092040405e+03 4.709750998192446e-01
1.172884231729166e-02 1.767260484438910e+03 4.406556839627118e-01
1.187730825367346e-02 1.618602318118138e+03 4.212801674600441e-01
1.202577417412833e-02 1.477250372978248e+03 3.987818792342687e-01
1.217424007845719e-02 1.345647038401268e+03 3.786929104399847e-01
1.232270596646097e-02 1.223824915342939e+03 3.629677760071155e-01
1.247117183794057e-02 1.110254538578597e+03 3.376123545290876e-01
1.261963769269691e-02 1.002584392495506e+03 3.223842022990930e-01
