<X> <Y> <dY>
1.039265947336785e-03 7.442139347633582e+03 1.467981925194115e+01
1.187732507260276e-03 7.223712252611603e+03 6.461072267764909e+00
1.336199065591062e-03 7.239439792077839e+03 3.929181120055604e+00
1.484665622130054e-03 7.157543280064861e+03 3.397361392512756e+00
1.633132176678164e-03 7.054640215261835e+03 2.696376834402896e+00
1.781598729036305e-03 6.981538604902349e+03 2.553326695259222e+00
1.930065279005388e-03 6.878763213006737e+03 2.390393187120200e+00
2.078531826386324e-03 6.788735164551832e+03 2.223576543046283e+00
2.226998370980027e-03 6.696556323254412e+03 2.204753860931170e+00
2.375464912587407e-03 6.598097375979742e+03 1.994394921025352e+00
2.523931451009377e-03 6.497879035691770e+03 2.012812814214811e+00
2.672397986046849e-03 6.399139241828482e+03 1.851014140386323e+00
2.820864517500735e-03 6.300573126855133e+03 1.783500315724322e+00
2.969331045171946e-03 6.194694747774367e+03 1.759772489623284e+00
3.117797568861397e-03 6.095830540655160e+03 1.661727343841791e+00
3.266264088369997e-03 5.989173339744639e+03 1.619627946889460e+00
3.414730603498659e-03 5.868166412746984e+03 1.558921479591178e+00
3.563197114048295e-03 5.768737203290628e+03 1.505089451891213e+00
3.711663619819818e-03 5.671235349943443e+03 1.465502004407526e+00
3.860130120614143e-03 5.561150645852048e+03 1.388477410511995e+00
4.008596616232176e-03 5.437807713539612e+03 1.386437926556440e+00
4.157063106474833e-03 5.333799521914358e+03 1.333883783575177e+00
4.305529591143026e-03 5.225893838369194e+03 1.288401722621110e+00
4.453996070037668e-03 5.113750841686924e+03 1.270661491720862e+00
4.602462542959671e-03 5.002154362248824e+03 1.204339723708500e+00
4.750929009709947e-03 4.890300061416150e+03 1.184327661246967e+00
4.899395470089409e-03 4.779503581241123e+03 1.146393853234356e+00
5.047861923898970e-03 4.666851224659753e+03 1.124119812048975e+00
5.196328370939542e-03 4.553977096432401e+03 1.096570120833358e+00
5.344794811012039e-03 4.437146110100234e+03 1.051605177435391e+00
5.493261243917372e-03 4.323589903872567e+03 1.033202463863706e+00
5.641727669456453e-03 4.208878245798614e+03 9.987904374388110e-01
5.790194087430198e-03 4.094419165548045e+03 9.807485663798672e-01
5.938660497639517e-03 3.982262207783549e+03 9.426134459247075e-01
6.087126899885325e-03 3.869070890652814e+03 9.310605952039119e-01
6.235593293968535e-03 3.756838304211065e+03 8.987489403480097e-01
6.384059679690060e-03 3.643118467598671e+03 8.677026562554779e-01
6.532526056850811e-03 3.527009303718503e+03 8.456023040269097e-01
6.680992425251704e-03 3.418981566606947e+03 8.293912504169373e-01
6.829458784693651e-03 3.307672897087336e+03 8.127093099764868e-01
6.977925134977566e-03 3.198088342214020e+03 7.748442486273331e-01
7.126391475904362e-03 3.090969460418186e+03 7.644454436258351e-01
7.274857807274953e-03 2.982515532569271e+03 7.329345939596510e-01
7.423324128890250e-03 2.876080912046294e+03 7.137255246824515e-01
7.571790440551172e-03 2.771712043833023e+03 7.018158883874293e-01
7.720256742058629e-03 2.667099014924255e+03 6.750715088684506e-01
7.868723033213537e-03 2.568312011111576e+03 6.624476667269134e-01
8.017189313816805e-03 2.466007548224222e+03 6.379726523836239e-01
8.165655583669350e-03 2.367531040579053e+03 6.147199216847762e-01
8.314121842572089e-03 2.268939260421429e+03 6.008815366926686e-01
8.462588090325933e-03 2.172877005860778e+03 5.769372240119357e-01
8.611054326731796e-03 2.079512492746501e+03 5.710079802545537e-01
